"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Atomic Energy","Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)","Total Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)","30","140","90","150"
"Atomic Energy","Contribution to International Atomic Energy Agency","Total Contribution to International Atomic Energy Agency","24.91","40","29.17","40"
"Atomic Energy","Power","Total Power","-57.55","874.12","1014.19","628.95"
"Atomic Energy","Industries","Total Industries","2964.36","1622.64","1768.78","1215.71"
"Atomic Energy","Atomic Energy Research","Total Atomic Energy Research","5715.54","6264.14","6502.8","6973.78"
"Atomic Energy","Secretariat-Economic Services","Total Secretariat-Economic Services","54.42","58.05","65.13","66"
"Atomic Energy","Capital Outlay on Power Projects","Total Capital Outlay on Power Projects","947.61","603.42","599.42","609.1"
"Atomic Energy","Capital Outlay on Atomic Energy Industries","Total Capital Outlay on Atomic Energy Industries","2400.75","2964.14","3010.51","3249.52"
"Atomic Energy","Capital Outlay on Atomic Energy Research","Total Capital Outlay on Atomic Energy Research","1643.23","1939","1954.68","2178.88"
"Atomic Energy","Loans for  Power Projects","Total Loans for  Power Projects","3750","2600","2510","3307"
"Cabinet","Secretariat assistance to Ex-Governors","Total Secretariat assistance to Ex-Governors","1.5","1.8","1.8","1.8"
"Cabinet","Council of Ministers","Total Council of Ministers","600.25","454.87","594.11","766.83"
"Cabinet","Cabinet Secretariat","Total Cabinet Secretariat","56.23","62.58","62.98","61.75"
"Cabinet","National Security Council Secretariat","Total National Security Council Secretariat","812.32","152.63","140.92","170.73"
"Cabinet","Office of Principal Scientific Advisor","Total Office of Principal Scientific Advisor","58.1","98.61","69.47","78.62"
"Cabinet","Prime Minister's Office","Total Prime Minister's Office","46.9","53.28","50.55","55.05"
"Cabinet","Hospitality and Entertainment Expenses","Total Hospitality and Entertainment Expenses","5.26","5.08","5.45","5.6"
"Cabinet","President, Vice President/Governor, Administrator of Union Territories","Total President, Vice President/Governor, Administrator of Union Territories","1.5","1.8","1.8","1.8"
"Cabinet","Council of Ministers","Total Council of Ministers","857.91","821.97","918.03","1132.98"
"Cabinet","Other Administrative Services","Total Other Administrative Services","5.25","5.08","5.45","5.6"
"Cabinet","Capital Outlay on Other Administrative Services","Total Capital Outlay on Other Administrative Services","715.89","...","...","..."
"Capital Outlay on Defence Services","Land-Army","Total Land-Army","130.93","290.83","90.83","291"
"Capital Outlay on Defence Services","Construction Works-Army","Total Construction Works-Army","5407.54","6181.18","6005.15","6061.67"
"Capital Outlay on Defence Services","Aircrafts and Aeroengines-Army","Total Aircrafts and Aeroengines-Army","2383.29","2115.43","3237.43","4000"
"Capital Outlay on Defence Services","Heavy and Medium Vehicles","Total Heavy and Medium Vehicles","1490.44","2128.05","1465.72","1589.36"
"Capital Outlay on Defence Services","Other equipment-Army","Total Other equipment-Army","17923.35","18562.15","18716.66","20209.25"
"Capital Outlay on Defence Services","Rolling Stock","Total Rolling Stock","...","50","2.5","100"
"Capital Outlay on Defence Services","Rashtriya Rifles","Total Rashtriya Rifles","82.72","95","95","100"
"Capital Outlay on Defence Services","National Cadet Corps","Total National Cadet Corps","20.39","24.64","49.64","27.1"
"Capital Outlay on Defence Services","Ex-Servicemen Contributory Health Scheme","Total Ex-Servicemen Contributory Health Scheme","3.36","13.97","3.97","14"
"Capital Outlay on Defence Services","Military Farms","Total Military Farms","-1.83","...","...","..."
"Capital Outlay on Defence Services","Land-Navy","Total Land-Navy","25.44","50.53","1.53","16.49"
"Capital Outlay on Defence Services","Construction Works-Navy","Total Construction Works-Navy","833.14","1000","1000","1052"
"Capital Outlay on Defence Services","Aircrafts and Aeroengines","Total Aircrafts and Aeroengines","1891.42","2400","1150","4640"
"Capital Outlay on Defence Services","Heavy and Medium Vehicles","Total Heavy and Medium Vehicles","48.26","45","25","30"
"Capital Outlay on Defence Services","Other equipment-Navy","Total Other equipment-Navy","3626.21","3500","3600","3000"
"Capital Outlay on Defence Services","Naval Fleet","Total Naval Fleet","11455.59","12182","15434","12746"
"Capital Outlay on Defence Services","Naval Dockyard/projects","Total Naval Dockyard/projects","2748.39","3050","4017","4182"
"Capital Outlay on Defence Services","Joint Staff","Total Joint Staff","881.15","928.9","928.9","1021.79"
"Capital Outlay on Defence Services","Land-Air Force","Total Land-Air Force","13.61","70","25","150"
"Capital Outlay on Defence Services","Construction Works-Air Force","Total Construction Works-Air Force","1707.45","1837.3","2362.3","3100"
"Capital Outlay on Defence Services","Aircrafts and Aeroengines-Air Force","Total Aircrafts and Aeroengines-Air Force","25326.92","24807.19","21736.31","26909.88"
"Capital Outlay on Defence Services","Heavy and Medium Vehicles-Air Force","Total Heavy and Medium Vehicles-Air Force","65.6","110","110","120"
"Capital Outlay on Defence Services","Other equipment-Air Force","Total Other equipment-Air Force","8459.45","11448.15","19875.53","12001.03"
"Capital Outlay on Defence Services","Special Projects","Total Special Projects","907.81","1030","760","1001"
"Capital Outlay on Defence Services","Defence Ordnance Factories","Total Defence Ordnance Factories","586.53","884.05","884.05","756.5"
"Capital Outlay on Defence Services","Research  and Development","Total Research  and Development","9230.29","10484.43","8723.78","10532.87"
"Capital Outlay on Defence Services","Inspection - Director General Quality Audit (DGQA)","Total Inspection - Director General Quality Audit (DGQA)","12.24","10.96","15.96","12.06"
"Capital Outlay on Defence Services","Projects of the Army","Total Projects of the Army","...","50","...","70"
"Capital Outlay on Defence Services","Projects of the Air Force","Total Projects of the Air Force","-29.1","44.55","78.05","..."
"Capital Outlay on Defence Services","Capital Outlay on Defence Services","Total Capital Outlay on Defence Services","95230.59","103394.31","110394.31","113734"
"Central Vigilance Commission","Central Vigilance Commission","Total Central Vigilance Commission","33.98","35.55","36.65","39"
"Central Vigilance Commission","Vigilance","Total Vigilance","33.98","35.55","36.65","39"
"Chandigarh","Secretariat","Total Secretariat","20.48","20.74","19.13","17.62"
"Chandigarh","Other Establishment","Total Other Establishment","2535.66","2691.06","2698.98","2782.94"
"Chandigarh","Schemes of UT","Police Housing and Allied works","27.47","26","46.12","53.3"
"Chandigarh","Schemes of UT","Development of Villages","4.22","6.04","...","..."
"Chandigarh","Schemes of UT","Power and Renewable Energy","859.5","879.31","880.29","879.61"
"Chandigarh","Schemes of UT","Forests, Wildlife, Ecology and Environment","26.93","28.33","30.18","34.23"
"Chandigarh","Schemes of UT","Health Services","78.25","75.31","56.69","67.19"
"Chandigarh","Schemes of UT","Education","66.74","68.13","51.75","69.73"
"Chandigarh","Schemes of UT","Welfare of Women and Children","21.95","25.63","26.66","24.6"
"Chandigarh","Schemes of UT","Art, Culture and Museum","2.83","3.71","3.4","3.39"
"Chandigarh","Schemes of UT","Khadi and Village Industries","2.65","3.21","1.91","2.97"
"Chandigarh","Schemes of UT","Road and Transport","11.55","39.83","38.71","49.1"
"Chandigarh","Schemes of UT","Govt- Housing","30.56","23.7","32.34","23.38"
"Chandigarh","Schemes of UT","Urban Development","199.27","117.04","189.8","171.07"
"Chandigarh","Schemes of UT","Welfare of Differently Abled and Aged","12.62","4.33","7.23","21.63"
"Chandigarh","Schemes of UT","Other Schemes","78.34","87.29","59.59","83.98"
"Chandigarh","UT's Supplement to Centrally Sponsored Schemes","Total UT's Supplement to Centrally Sponsored Schemes","7.07","12.13","10.4","17"
"Chandigarh","Grantee / Other Bodies","Total Grantee / Other Bodies","443.98","641.33","715.81","836.36"
"Dadra and Nagar Haveli and Daman and Diu","Secretariat - Dadra and Nagar Haveli","Total Secretariat - Dadra and Nagar Haveli","4.42","4.44","4.44","..."
"Dadra and Nagar Haveli and Daman and Diu","Secretariat - Daman and Diu","Total Secretariat - Daman and Diu","13.08","14.7","14.7","..."
"Dadra and Nagar Haveli and Daman and Diu","Secretariat - Dadra and Nagar Haveli and Daman and Diu","Total Secretariat - Dadra and Nagar Haveli and Daman and Diu","...","...","...","19.76"
"Dadra and Nagar Haveli and Daman and Diu","Other Establishment - Dadra and Nagar Haveli","Total Other Establishment - Dadra and Nagar Haveli","281.39","284.39","284.39","..."
"Dadra and Nagar Haveli and Daman and Diu","Other Establishment - Daman and Diu","Total Other Establishment - Daman and Diu","212.66","251.64","239.42","..."
"Dadra and Nagar Haveli and Daman and Diu","Other Establishment - Dadra and Nagar Haveli and Daman and Diu","Total Other Establishment - Dadra and Nagar Haveli and Daman and Diu","...","...","...","593.07"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Welfare of Scheduled Caste/Scheduled Tribes","0.08","0.7","0.7","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Relief on Account of Natural Calamities","0.59","1.1","1.1","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Police","7.47","5.74","5.74","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Agriculture and Allied Activities","2.62","4.04","4.22","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Power","25.34","28.03","28.03","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Forest and Wildlife","21.61","20.14","20.14","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Education","43.66","54.46","54.46","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Health","57.43","119.32","119.32","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Sports","3.79","9.9","9.9","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Tourism","5.19","4.4","9.4","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Urban Development","30.3","31.23","31.23","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Welfare of Widows/Destitute Women","0.04","0.03","0.03","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Village and Small Industries","5.57","10.48","10.48","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Roads and Bridges","120.56","101.27","101.27","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli","Differently Abled and Aged","0.11","0.51","0.51","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Police Welfare","2.98","2.75","2.75","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Welfare of SCs, STs, OBCs and Minorities","0.44","0.58","0.58","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Relief on account of Natural calamities","0.11","0.81","0.81","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Up-gradation of Fire Fighting Services","2.99","3.43","3.43","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Agriculture and Allied Activities","5.86","5.2","5.2","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Transmission and Distribution of Power","958.24","1132.51","1335.51","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Forests, Wildlife, Ecology and Environment","4.5","3.21","3.21","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Public Distribution System","2","2","2","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Medical and Health","7.16","33.88","33.88","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Education","72.63","62.99","62.99","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Industrial Promotion","...","5.1","0.1","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Labour welfare","...","1.12","1.12","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Industrial Training Institutes","0.41","0.51","0.51","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Maintenance and repairs of Roads and Bridges","110.62","80.11","80.11","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Construction and Development of Ports and Light Houses","2.79","13.7","13.7","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Civil Aviation","14.87","18.69","18.69","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Maintenance and repairs of Tourist Infrastructures","37.95","42.04","42.04","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Public Works","25.35","32.53","32.53","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Water Supply and Sanitation","31.05","36.25","36.25","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Government Accommodation for General Pool","3.22","5.49","5.49","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Construction of Solid Waste Management facilities","0.05","0.2","0.2","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","Social Security","0.22","0.3","0.3","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Daman and Diu","New and Renewable Energy","4","3","3","..."
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Police Welfare Schemes","...","...","...","8.16"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes for SCs, STs, OBCs and Minorities","...","...","...","1.46"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Relief on Account of Natural Calamities","...","...","...","1.95"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Up-gradation of Fire Fighting Services","...","...","...","8.36"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes for Agriculture and Allied Activities","...","...","...","11.62"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Transmission and Distribution of Power","...","...","...","1382.89"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Forests, Wildlife including Ecology and Environment","...","...","...","30.61"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Public Distribution System","...","...","...","8"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes under Medical and Health","...","...","...","162.7"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes under Education","...","...","...","124.22"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes for industrial promotion","...","...","...","16.08"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Labour welfare","...","...","...","1.12"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Industrial Training Institutes","...","...","...","0.48"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Roads and Bridges","...","...","...","232.2"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Construction and Development of Ports and Light Houses","...","...","...","10.2"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Schemes related to Civil Aviation","...","...","...","59.62"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Scheme for Tourism","...","...","...","64.8"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Public Works","...","...","...","69.72"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Water Supply and Sanitation","...","...","...","26.35"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Government Accommodation for General Pool","...","...","...","6.7"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Construction of Solid Waste Management facilities","...","...","...","0.16"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Welfare of Widows/Destitute Women","...","...","...","0.22"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Social Security Schemes","...","...","...","5.3"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Scheme for Development of Sport","...","...","...","9.9"
"Dadra and Nagar Haveli and Daman and Diu","Schemes of UT - Dadra and Nagar Haveli and Daman and Diu","Scheme for Differently Able and Aged","...","...","...","0.6"
"Dadra and Nagar Haveli and Daman and Diu","UTs Supplement to Centrally Sponsored Schemes - Daman and Diu","Total UTs Supplement to Centrally Sponsored Schemes - Daman and Diu","11","22.43","22.43","..."
"Dadra and Nagar Haveli and Daman and Diu","UTs Supplement to Centrally Sponsored Schemes - Dadra and Nagar Haveli and Daman and Diu","Total UTs Supplement to Centrally Sponsored Schemes - Dadra and Nagar Haveli and Daman and Diu","...","...","...","1.7"
"Dadra and Nagar Haveli and Daman and Diu","Tribal Area Component - Daman and Diu","Total Tribal Area Component - Daman and Diu","16.25","28.25","16.25","..."
"Dadra and Nagar Haveli and Daman and Diu","Tribal Area Component - Dadra and Nagar Haveli and Daman and Diu","Total Tribal Area Component - Dadra and Nagar Haveli and Daman and Diu","...","...","...","23.98"
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli","Grants to Zilla Parishad/District Level Panchayats","347.5","350.93","350.93","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli","Grants to Silvassa Municipal Council","108.53","129.5","124.32","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli","Grant to other Autonomous and Grantee bodies","6.25","9.07","12.42","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Daman and Diu","Grants to District Panchayats and Village Panchayats of Daman and Diu","53.66","64.96","39.96","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Daman and Diu","Grants to Municipal Councils of Daman and Diu","30.84","32.36","27.37","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Daman and Diu","Other Grantee Bodies","19.53","14.25","13.25","..."
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu","Grants to District Panchayats and Village Panchayats","...","...","...","382"
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu","Grants to Municipal Councils","...","...","...","90"
"Dadra and Nagar Haveli and Daman and Diu","Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu","Other Grantee Bodies","...","...","...","158.39"
"Dadra and Nagar Haveli and Daman and Diu","Other Expenditure of UT - Dadra and Nagar Haveli","Total Other Expenditure of UT - Dadra and Nagar Haveli","11.76","15.21","15.21","..."
"Dadra and Nagar Haveli and Daman and Diu","Other Expenditure of UT - Daman and Diu","Total Other Expenditure of UT - Daman and Diu","0.06","3.49","3.49","..."
